,top genre,year
97,acoustic pop,2011
165,acoustic pop,2013
208,alaska indie,2013
589,alternative r&b,2019
40,art pop,2010
156,art pop,2013
224,art pop,2014
353,art pop,2015
423,art pop,2016
472,art pop,2017
487,art pop,2017
500,art pop,2017
16,atl hip hop,2010
48,atl hip hop,2010
49,atl hip hop,2010
96,atl hip hop,2011
210,atl hip hop,2013
253,australian dance,2014
294,australian dance,2015
336,australian dance,2015
414,australian dance,2016
463,australian dance,2017
506,australian dance,2017
231,australian hip hop,2014
22,australian pop,2010
38,australian pop,2010
69,australian pop,2011
126,australian pop,2012
334,australian pop,2015
10,barbadian pop,2010
43,barbadian pop,2010
73,barbadian pop,2011
86,barbadian pop,2011
92,barbadian pop,2011
93,barbadian pop,2011
127,barbadian pop,2012
134,barbadian pop,2012
136,barbadian pop,2012
206,barbadian pop,2013
277,barbadian pop,2015
333,barbadian pop,2015
372,barbadian pop,2016
378,barbadian pop,2016
521,barbadian pop,2018
123,baroque pop,2012
133,baroque pop,2012
335,belgian edm,2015
493,belgian edm,2017
51,big room,2010
141,big room,2013
147,big room,2013
218,big room,2014
328,big room,2015
341,big room,2015
368,big room,2016
464,big room,2017
499,big room,2017
592,big room,2019
109,boy band,2012
120,boy band,2012
142,boy band,2013
160,boy band,2013
161,boy band,2013
181,boy band,2013
192,boy band,2013
199,boy band,2013
230,boy band,2014
285,boy band,2015
343,boy band,2015
350,boy band,2015
473,boy band,2017
584,boy band,2019
586,boy band,2019
53,british soul,2011
56,british soul,2011
113,british soul,2012
296,british soul,2015
307,british soul,2015
399,british soul,2016
418,british soul,2016
421,british soul,2016
443,british soul,2016
474,british soul,2017
505,british soul,2017
523,brostep,2018
580,brostep,2019
271,canadian contemporary r&b,2015
279,canadian contemporary r&b,2015
316,canadian contemporary r&b,2015
364,canadian contemporary r&b,2016
376,canadian contemporary r&b,2016
405,canadian contemporary r&b,2016
446,canadian contemporary r&b,2017
450,canadian contemporary r&b,2017
477,canadian contemporary r&b,2017
159,canadian hip hop,2013
387,canadian hip hop,2016
442,canadian latin,2016
6,canadian pop,2010
62,canadian pop,2011
111,canadian pop,2012
121,canadian pop,2012
124,canadian pop,2012
182,canadian pop,2013
183,canadian pop,2013
272,canadian pop,2015
276,canadian pop,2015
280,canadian pop,2015
281,canadian pop,2015
302,canadian pop,2015
315,canadian pop,2015
320,canadian pop,2015
321,canadian pop,2015
330,canadian pop,2015
331,canadian pop,2015
338,canadian pop,2015
365,canadian pop,2016
379,canadian pop,2016
397,canadian pop,2016
412,canadian pop,2016
416,canadian pop,2016
422,canadian pop,2016
434,canadian pop,2016
447,canadian pop,2017
451,canadian pop,2017
484,canadian pop,2017
513,canadian pop,2018
516,canadian pop,2018
532,canadian pop,2018
539,canadian pop,2018
548,canadian pop,2018
576,canadian pop,2019
175,candy pop,2013
259,candy pop,2014
144,celtic rock,2013
64,chicago rap,2011
44,colombian pop,2010
248,colombian pop,2014
260,colombian pop,2014
155,complextro,2013
245,complextro,2014
313,complextro,2015
428,complextro,2016
453,complextro,2017
488,complextro,2017
537,contemporary country,2018
3,dance pop,2010
4,dance pop,2010
7,dance pop,2010
8,dance pop,2010
11,dance pop,2010
13,dance pop,2010
14,dance pop,2010
15,dance pop,2010
17,dance pop,2010
18,dance pop,2010
19,dance pop,2010
20,dance pop,2010
21,dance pop,2010
23,dance pop,2010
25,dance pop,2010
27,dance pop,2010
28,dance pop,2010
29,dance pop,2010
30,dance pop,2010
31,dance pop,2010
32,dance pop,2010
33,dance pop,2010
34,dance pop,2010
36,dance pop,2010
37,dance pop,2010
39,dance pop,2010
41,dance pop,2010
45,dance pop,2010
46,dance pop,2010
47,dance pop,2010
50,dance pop,2010
52,dance pop,2011
54,dance pop,2011
57,dance pop,2011
59,dance pop,2011
61,dance pop,2011
63,dance pop,2011
66,dance pop,2011
67,dance pop,2011
68,dance pop,2011
70,dance pop,2011
71,dance pop,2011
72,dance pop,2011
74,dance pop,2011
75,dance pop,2011
76,dance pop,2011
77,dance pop,2011
78,dance pop,2011
79,dance pop,2011
80,dance pop,2011
81,dance pop,2011
82,dance pop,2011
83,dance pop,2011
84,dance pop,2011
85,dance pop,2011
87,dance pop,2011
88,dance pop,2011
89,dance pop,2011
90,dance pop,2011
91,dance pop,2011
94,dance pop,2011
95,dance pop,2011
98,dance pop,2011
99,dance pop,2011
100,dance pop,2011
101,dance pop,2011
102,dance pop,2011
103,dance pop,2011
104,dance pop,2011
105,dance pop,2012
112,dance pop,2012
115,dance pop,2012
116,dance pop,2012
117,dance pop,2012
122,dance pop,2012
125,dance pop,2012
128,dance pop,2012
129,dance pop,2012
130,dance pop,2012
131,dance pop,2012
132,dance pop,2012
135,dance pop,2012
137,dance pop,2012
139,dance pop,2012
140,dance pop,2013
143,dance pop,2013
145,dance pop,2013
146,dance pop,2013
149,dance pop,2013
151,dance pop,2013
152,dance pop,2013
154,dance pop,2013
157,dance pop,2013
162,dance pop,2013
164,dance pop,2013
166,dance pop,2013
167,dance pop,2013
169,dance pop,2013
170,dance pop,2013
171,dance pop,2013
172,dance pop,2013
173,dance pop,2013
174,dance pop,2013
176,dance pop,2013
179,dance pop,2013
180,dance pop,2013
184,dance pop,2013
185,dance pop,2013
186,dance pop,2013
187,dance pop,2013
189,dance pop,2013
190,dance pop,2013
191,dance pop,2013
194,dance pop,2013
195,dance pop,2013
196,dance pop,2013
197,dance pop,2013
198,dance pop,2013
200,dance pop,2013
201,dance pop,2013
202,dance pop,2013
203,dance pop,2013
204,dance pop,2013
205,dance pop,2013
207,dance pop,2013
209,dance pop,2013
213,dance pop,2014
214,dance pop,2014
217,dance pop,2014
222,dance pop,2014
227,dance pop,2014
229,dance pop,2014
232,dance pop,2014
234,dance pop,2014
236,dance pop,2014
237,dance pop,2014
238,dance pop,2014
239,dance pop,2014
240,dance pop,2014
242,dance pop,2014
243,dance pop,2014
244,dance pop,2014
246,dance pop,2014
249,dance pop,2014
252,dance pop,2014
254,dance pop,2014
255,dance pop,2014
257,dance pop,2014
258,dance pop,2014
263,dance pop,2014
264,dance pop,2014
267,dance pop,2014
268,dance pop,2014
273,dance pop,2015
278,dance pop,2015
282,dance pop,2015
283,dance pop,2015
286,dance pop,2015
287,dance pop,2015
288,dance pop,2015
290,dance pop,2015
291,dance pop,2015
292,dance pop,2015
295,dance pop,2015
297,dance pop,2015
298,dance pop,2015
299,dance pop,2015
300,dance pop,2015
301,dance pop,2015
304,dance pop,2015
305,dance pop,2015
306,dance pop,2015
308,dance pop,2015
309,dance pop,2015
310,dance pop,2015
312,dance pop,2015
314,dance pop,2015
317,dance pop,2015
318,dance pop,2015
319,dance pop,2015
322,dance pop,2015
324,dance pop,2015
325,dance pop,2015
326,dance pop,2015
327,dance pop,2015
329,dance pop,2015
332,dance pop,2015
337,dance pop,2015
342,dance pop,2015
344,dance pop,2015
345,dance pop,2015
347,dance pop,2015
348,dance pop,2015
349,dance pop,2015
351,dance pop,2015
354,dance pop,2015
355,dance pop,2015
356,dance pop,2015
357,dance pop,2015
358,dance pop,2015
359,dance pop,2015
360,dance pop,2015
361,dance pop,2015
362,dance pop,2015
363,dance pop,2015
366,dance pop,2016
369,dance pop,2016
370,dance pop,2016
371,dance pop,2016
374,dance pop,2016
375,dance pop,2016
377,dance pop,2016
381,dance pop,2016
382,dance pop,2016
383,dance pop,2016
384,dance pop,2016
386,dance pop,2016
389,dance pop,2016
390,dance pop,2016
391,dance pop,2016
392,dance pop,2016
393,dance pop,2016
394,dance pop,2016
396,dance pop,2016
398,dance pop,2016
400,dance pop,2016
401,dance pop,2016
402,dance pop,2016
403,dance pop,2016
406,dance pop,2016
407,dance pop,2016
409,dance pop,2016
410,dance pop,2016
411,dance pop,2016
413,dance pop,2016
415,dance pop,2016
417,dance pop,2016
419,dance pop,2016
420,dance pop,2016
424,dance pop,2016
425,dance pop,2016
426,dance pop,2016
429,dance pop,2016
430,dance pop,2016
431,dance pop,2016
433,dance pop,2016
435,dance pop,2016
436,dance pop,2016
438,dance pop,2016
439,dance pop,2016
440,dance pop,2016
452,dance pop,2017
455,dance pop,2017
457,dance pop,2017
458,dance pop,2017
459,dance pop,2017
460,dance pop,2017
461,dance pop,2017
466,dance pop,2017
467,dance pop,2017
468,dance pop,2017
469,dance pop,2017
470,dance pop,2017
476,dance pop,2017
479,dance pop,2017
481,dance pop,2017
483,dance pop,2017
485,dance pop,2017
486,dance pop,2017
489,dance pop,2017
490,dance pop,2017
491,dance pop,2017
492,dance pop,2017
494,dance pop,2017
495,dance pop,2017
496,dance pop,2017
498,dance pop,2017
501,dance pop,2017
502,dance pop,2017
503,dance pop,2017
504,dance pop,2017
507,dance pop,2017
509,dance pop,2018
510,dance pop,2018
512,dance pop,2018
514,dance pop,2018
515,dance pop,2018
517,dance pop,2018
518,dance pop,2018
519,dance pop,2018
522,dance pop,2018
524,dance pop,2018
525,dance pop,2018
526,dance pop,2018
530,dance pop,2018
533,dance pop,2018
534,dance pop,2018
535,dance pop,2018
540,dance pop,2018
541,dance pop,2018
542,dance pop,2018
543,dance pop,2018
544,dance pop,2018
545,dance pop,2018
546,dance pop,2018
547,dance pop,2018
553,dance pop,2018
554,dance pop,2018
555,dance pop,2018
557,dance pop,2018
558,dance pop,2018
559,dance pop,2018
561,dance pop,2018
562,dance pop,2018
563,dance pop,2018
565,dance pop,2018
566,dance pop,2018
567,dance pop,2018
568,dance pop,2018
572,dance pop,2018
574,dance pop,2019
587,dance pop,2019
590,dance pop,2019
595,dance pop,2019
599,dance pop,2019
601,dance pop,2019
602,dance pop,2019
373,danish pop,2016
2,detroit hip hop,2010
560,detroit hip hop,2018
497,downtempo,2017
564,downtempo,2018
454,edm,2017
475,edm,2017
520,edm,2018
549,edm,2018
583,edm,2019
148,electro,2013
163,electro,2013
480,electro house,2017
449,electronic trap,2017
597,electronic trap,2019
241,electropop,2014
367,electropop,2016
385,electropop,2016
388,electropop,2016
395,electropop,2016
445,electropop,2017
456,electropop,2017
465,electropop,2017
536,electropop,2018
579,electropop,2019
591,electropop,2019
594,electropop,2019
603,electropop,2019
581,escape room,2019
582,escape room,2019
221,folk-pop,2014
437,folk-pop,2016
339,french indie pop,2015
340,hip hop,2015
380,hip hop,2016
531,hip hop,2018
552,hip hop,2018
9,hip pop,2010
35,hip pop,2010
42,hip pop,2010
188,hip pop,2013
266,hip pop,2014
352,hip pop,2015
265,hollywood,2014
226,house,2014
26,indie pop,2010
158,indie pop,2013
274,irish singer-songwriter,2015
441,latin,2016
462,latin,2017
551,latin,2018
598,latin,2019
223,metropopolis,2014
569,moroccan pop,2018
1,neo mellow,2010
211,neo mellow,2014
247,neo mellow,2014
250,neo mellow,2014
256,neo mellow,2014
261,neo mellow,2014
262,neo mellow,2014
427,neo mellow,2016
432,neo mellow,2016
107,permanent wave,2012
193,permanent wave,2013
251,permanent wave,2014
508,permanent wave,2017
5,pop,2010
12,pop,2010
24,pop,2010
55,pop,2011
58,pop,2011
60,pop,2011
65,pop,2011
106,pop,2012
108,pop,2012
110,pop,2012
114,pop,2012
118,pop,2012
119,pop,2012
138,pop,2012
150,pop,2013
153,pop,2013
168,pop,2013
177,pop,2013
178,pop,2013
212,pop,2014
215,pop,2014
216,pop,2014
219,pop,2014
220,pop,2014
225,pop,2014
228,pop,2014
233,pop,2014
235,pop,2014
269,pop,2015
270,pop,2015
275,pop,2015
289,pop,2015
293,pop,2015
303,pop,2015
323,pop,2015
346,pop,2015
408,pop,2016
444,pop,2017
448,pop,2017
471,pop,2017
478,pop,2017
482,pop,2017
511,pop,2018
527,pop,2018
528,pop,2018
529,pop,2018
538,pop,2018
550,pop,2018
556,pop,2018
570,pop,2018
571,pop,2018
573,pop,2019
575,pop,2019
577,pop,2019
578,pop,2019
585,pop,2019
588,pop,2019
593,pop,2019
596,pop,2019
600,pop,2019
284,tropical house,2015
311,tropical house,2015
404,tropical house,2016