            Australian Bureau of Statistics,,
"1800.0 Australian Marriage Law Postal Survey, 2017",,
Released on 15 November 2017,,
,,
,Contents,
,Tables,
,Table 1,Response by State and Territory
,Table 2,Response by Federal Electoral Division
,,
,Explanatory Notes,
,,
,,
,More information available from the ABS website,
,,
,"Australian Marriage Law Postal Survey, 2017",
,,
,,
,,
,Inquiries,
,,
,"Further information about these and related statistics is available from the ABS website www.abs.gov.au, or contact the National Information and Referral Service on 1300 135 070.",
,,
,,
,Â© Commonwealth of Australia 2017,